artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Leck,180,2.709852545159919,0.9045710022495042,0,0.2,7,"0,17,11","0.200,0.089,0.072",0.39777777777578877,generalist
Lady Laistee,178,2.5206438826493893,0.8414115990608935,16,0.21348314606741572,6,"16,0,18","0.213,0.152,0.129",0.5230337078625532,generalist
Jazzy Bazz,177,2.6786678549568275,0.8941612969235687,0,0.15819209039548024,7,"0,11,19","0.158,0.124,0.102",0.4319209039526431,generalist
Houari,174,2.4199677860524913,0.8078050924028533,0,0.2413793103448276,7,"0,16,17","0.241,0.121,0.103",0.5701149425258853,generalist
Kool Shen,174,2.504248514099369,0.8359386905854742,16,0.1896551724137931,8,"16,0,18","0.190,0.167,0.115",0.5373563218363936,generalist
Zek,173,2.5323435727695935,0.8453170515686118,0,0.24855491329479767,7,"0,11,13","0.249,0.133,0.081",0.5020231213847733,generalist
Shurik’n,172,2.6329571856412257,0.8789027006467482,16,0.18023255813953487,6,"16,17,0","0.180,0.180,0.093",0.45290697674192143,generalist
Abou Tall,172,2.6092606163467136,0.8709925914878949,0,0.2558139534883721,7,"0,17,11","0.256,0.087,0.076",0.455813953486093,generalist
Spider ZED,171,2.435417012348957,0.8129621708350115,16,0.19298245614035087,5,"16,0,17","0.193,0.187,0.146",0.5652046783597469,generalist
Blacko (FRA),170,2.483221997397748,0.8289198668784158,17,0.21764705882352942,4,"17,16,0","0.218,0.194,0.141",0.5288235294091208,generalist
OBOY,170,2.0717512283692088,0.6915675498302737,0,0.3941176470588235,5,"0,1,16","0.394,0.135,0.124",0.6829411764671734,moderate
Alibi Montana,169,2.67301277023073,0.8922735832663703,0,0.14792899408284024,7,"0,19,16","0.148,0.112,0.112",0.4417159763291524,generalist
Beendo Z,168,2.388257560072477,0.7972199589248223,0,0.38095238095238093,4,"0,18,2","0.381,0.065,0.060",0.5107142857117323,moderate
Cookiesan,168,2.6041241860173887,0.869278008921666,0,0.22023809523809523,6,"0,16,17","0.220,0.125,0.107",0.47738095237856576,generalist
Volts Face,168,2.6931683158635082,0.8990016696880808,0,0.1488095238095238,5,"0,2,16","0.149,0.125,0.119",0.4089285714265267,generalist
L’Entourage,167,2.6937066789607367,0.8991813797048874,0,0.1377245508982036,8,"16,0,1","0.138,0.138,0.090",0.4284431137703128,generalist
